3,2,40,1,9,357.0
2,1,20,1,9,153.0
1,3,20,2,1,71.2
2,1,40,0,2,163.3
1,3,20,1,9,108.0
3,1,20,2,9,324.4
3,1,20,0,6,249.6
2,2,40,0,9,176.0
2,1,20,1,5,150.0
3,2,20,1,5,288.0
1,2,60,1,6,102.8
1,1,40,0,5,70.0
3,3,60,1,8,335.1
2,1,60,1,1,199.0
3,3,60,1,4,379.8
1,1,20,1,1,48.0
3,1,40,2,8,310.5
3,3,20,0,4,305.8
3,1,20,1,5,261.8
3,3,60,2,8,350.6
3,3,40,2,6,381.0
2,2,40,1,7,197.5
1,1,40,1,5,92.0
3,3,40,0,6,260.6
2,3,60,1,9,189.0
1,1,60,0,1,88.0
2,2,40,1,4,148.5
2,3,20,2,3,207.2
1,1,20,0,1,42.6
2,3,60,2,3,206.4
2,2,40,0,5,195.6
1,2,60,0,3,52.5
2,1,20,0,8,134.0
1,1,40,0,6,64.8
2,3,40,0,1,147.0
3,3,60,0,9,357.6
2,3,20,2,3,178.6
2,2,40,1,5,169.5
1,3,40,0,7,58.7
2,3,20,1,9,163.5
3,3,20,2,2,313.2
2,2,60,0,1,155.5
2,1,40,1,9,165.6
3,2,60,0,1,340.6
2,3,20,2,1,180.6
1,1,40,1,9,62.0
3,1,20,0,5,273.2
1,1,40,1,2,66.2
2,2,60,0,9,171.0
1,3,60,2,9,126.0
1,1,40,0,8,79.9
1,1,40,2,3,61.0
2,1,40,1,4,164.6
2,2,60,2,3,221.5
2,3,60,0,1,163.0
1,1,60,0,1,62.8
2,3,60,0,3,183.4
3,3,20,0,6,268.6
1,3,40,2,5,60.9
2,2,20,2,1,205.0
1,2,40,2,6,78.8
2,3,40,2,2,162.7
2,1,20,1,5,161.9
2,2,40,2,8,179.4
1,1,20,1,8,91.8
2,3,20,2,9,226.8
1,2,60,1,8,76.8
2,3,20,2,5,199.0
3,2,40,1,9,303.0
1,2,40,0,6,100.6
2,3,40,1,7,239.2
3,3,40,2,4,375.8
1,3,40,0,7,69.1
2,2,20,1,3,195.4
1,1,60,0,7,58.8
3,3,60,0,3,306.6
2,1,20,2,8,160.8
2,1,60,2,5,194.2
2,1,40,2,1,199.0
2,1,20,1,5,172.1
3,2,20,0,5,245.1
2,1,20,1,9,198.5
2,2,60,0,4,150.0
3,2,60,0,8,338.0
1,1,20,0,4,49.0
2,3,40,2,8,204.2
2,1,40,1,4,158.8
2,1,20,0,2,120.8
2,2,40,2,6,176.0
3,2,20,2,2,318.0
2,3,60,2,8,236.4
3,3,40,1,3,346.6
1,1,20,2,9,92.0
1,2,60,1,1,74.4
3,1,20,2,4,273.8
3,2,20,2,9,300.0
3,1,60,1,4,322.5
2,3,60,1,6,202.5
2,1,60,1,4,196.5
2,3,20,2,8,246.4
2,1,60,0,1,169.6
3,2,40,2,6,330.0
1,3,20,0,7,74.2
2,2,60,0,9,180.0
3,3,40,1,1,313.4
1,2,60,1,2,84.8
1,2,40,2,7,111.2
3,3,60,1,5,349.9
3,1,60,2,3,309.6
3,1,60,2,1,313.4
3,1,40,0,1,261.7
2,3,40,0,7,178.5
1,1,40,2,5,86.0
1,1,60,2,7,112.6
2,1,60,2,5,183.0
3,1,60,1,8,333.4
1,3,20,1,2,46.5
1,1,40,0,7,79.5
1,1,60,2,2,82.2
2,3,40,1,5,170.2
2,1,60,1,3,160.5
2,1,60,0,6,165.4
2,2,40,1,6,151.5
2,1,20,1,9,186.9
1,1,60,2,1,63.2
3,2,20,2,7,339.0
1,2,40,2,6,73.6
3,1,40,0,2,245.9
2,1,60,0,2,164.2
2,1,40,0,3,171.5
3,2,40,0,6,303.6
1,1,40,1,8,92.2
2,3,40,2,1,217.2
1,1,20,1,4,68.0
3,3,40,1,7,323.4
3,1,40,0,6,303.5
2,2,40,2,1,164.0
3,2,40,0,4,292.0
1,1,40,1,7,93.8
1,3,60,0,3,52.6
1,1,40,0,8,89.2
1,2,60,1,3,98.4
3,1,40,1,4,323.2
2,2,40,2,4,193.6
2,1,60,0,7,172.2
3,2,60,1,5,322.2
3,3,20,1,6,291.0
3,2,60,1,7,409.6
2,1,60,2,8,222.4
3,2,60,2,4,367.3
