94,41,53,45,11,28,45,70,73,9,0
82,15,35,71,54,58,35,5,38,94,0
33,68,29,30,46,30,100,89,58,59,1
56,68,81,74,97,14,16,24,73,69,1
81,94,100,24,55,34,90,65,17,96,1
40,22,1,20,100,26,12,45,96,52,0
93,95,84,46,32,66,74,28,90,31,1
28,79,45,71,50,91,74,85,68,54,1
5,74,23,41,55,66,88,41,57,95,1
16,89,49,32,11,19,46,28,51,66,0
86,43,57,81,75,53,15,74,45,54,1
28,32,86,77,98,51,7,82,28,100,1
63,58,35,51,19,53,22,7,73,92,0
57,18,18,21,37,23,77,79,5,16,0
82,85,23,34,14,90,19,19,20,89,0
35,70,86,25,55,8,38,45,32,20,0
7,40,5,55,7,34,50,59,48,2,0
49,49,57,62,28,91,3,28,88,96,1
22,82,72,38,84,80,69,99,88,8,1
12,66,80,42,71,64,67,30,100,100,1
62,15,73,34,89,60,43,54,81,7,1
53,31,50,95,54,52,77,15,60,38,1
81,22,77,16,60,46,100,14,16,27,0
31,42,91,70,91,54,92,27,26,38,1
7,61,56,37,61,36,62,5,68,25,0
13,17,68,96,47,53,55,66,99,21,1
54,14,52,43,91,89,86,25,100,99,1
40,37,25,30,47,62,53,25,77,64,0
48,18,44,34,5,94,97,36,39,49,0
95,97,80,80,93,53,67,29,13,56,1
43,81,14,36,58,50,51,56,92,2,0
6,8,59,31,18,5,37,22,91,90,0
39,44,56,87,14,45,19,45,11,84,0
99,44,18,84,39,47,6,86,91,79,1
98,77,16,93,31,8,54,53,17,67,1
38,73,19,12,55,70,71,45,40,97,1
14,86,71,38,45,78,97,95,83,53,1
18,66,59,22,75,78,68,54,14,21,0
21,19,57,41,4,75,4,67,93,1,0
21,76,18,62,11,60,38,52,96,100,1
62,29,56,87,91,34,52,85,30,1,1
51,31,48,99,68,12,90,31,95,59,1
22,22,36,57,95,19,43,35,12,25,0
74,77,78,99,30,50,30,82,26,56,1
6,81,15,28,31,36,11,27,88,50,0
28,8,63,82,53,27,5,27,21,49,0
54,92,27,96,19,90,66,77,33,50,1
75,87,23,56,58,1,10,68,71,54,1
46,16,2,97,2,19,38,78,72,69,0
25,53,90,85,30,79,30,41,22,82,1
44,36,54,84,5,57,4,50,52,28,0
61,45,29,7,51,81,47,69,46,63,0
43,31,39,8,81,33,98,41,56,30,0
87,41,43,22,64,51,13,38,41,60,0
18,61,38,2,86,28,65,100,11,61,0
21,24,80,87,43,37,5,24,24,46,0
48,98,73,1,46,100,82,94,8,50,1
69,93,41,28,17,18,91,22,87,22,0
57,18,98,64,13,45,11,47,17,27,0
70,87,78,50,20,48,74,32,77,15,1
92,2,95,32,57,53,52,88,29,75,1
27,99,77,37,83,2,94,77,41,5,1
66,69,32,99,83,72,99,9,44,92,1
100,47,74,52,52,12,44,26,53,29,0
74,72,75,51,95,3,8,41,67,93,1
3,9,17,5,84,57,90,62,59,12,0
45,96,31,62,75,39,24,18,45,71,1
29,61,31,80,70,95,66,97,17,44,1
95,73,66,13,85,72,62,38,67,28,1
8,57,72,71,17,23,70,1,89,24,0
94,99,32,65,61,12,98,63,72,42,1
51,29,9,69,33,72,83,13,72,39,0
77,69,96,92,57,36,32,15,6,97,1
49,7,91,97,3,85,8,69,48,34,0
40,42,79,7,91,61,97,4,43,50,1
52,96,63,81,83,89,18,36,70,3,1
62,61,3,92,44,39,17,89,60,67,1
67,66,88,47,28,89,52,20,38,65,1
21,46,30,23,58,73,71,63,96,38,1
82,67,39,97,36,25,89,95,75,74,1
79,76,92,87,27,30,36,53,65,7,1
33,40,35,38,18,51,62,65,77,68,0
51,28,30,26,17,1,16,100,34,32,0
72,1,62,50,13,66,67,23,94,18,0
75,50,87,21,73,45,23,84,83,34,1
60,41,15,27,68,19,56,55,66,83,0
60,60,14,5,3,78,81,53,74,8,0
68,5,44,74,79,82,45,97,8,71,1
22,53,74,41,72,85,38,43,42,33,1
78,32,22,79,97,21,73,98,21,92,1
32,27,23,90,18,5,38,50,51,62,0
34,80,26,10,68,59,87,10,53,100,1
18,64,10,5,98,82,5,93,9,16,0
26,2,49,13,12,59,55,83,66,39,0
97,78,17,95,79,43,84,5,72,35,1
44,5,75,11,95,86,27,57,60,12,0
97,72,100,19,28,1,74,83,5,94,1
22,14,62,9,44,58,53,83,62,65,0
36,56,26,32,54,25,21,65,63,33,0
98,61,93,85,80,4,70,26,51,68,1
55,89,98,89,33,18,60,86,37,9,1
100,32,74,32,22,78,100,70,1,1,1
85,60,46,94,79,89,19,69,43,29,1
55,32,17,71,57,64,23,86,61,85,1
77,35,10,95,26,86,56,35,1,81,1
77,22,37,49,55,21,4,30,1,14,0
85,31,22,72,3,10,8,13,51,86,0
40,37,88,80,50,73,80,57,88,98,1
56,77,86,30,62,97,44,46,86,17,1
86,92,34,12,48,62,85,10,67,33,1
81,60,18,1,38,35,47,68,55,50,0
86,31,91,14,54,43,15,50,49,78,1
61,30,47,67,45,35,56,1,95,69,1
98,45,62,32,12,97,66,94,70,7,1
14,84,64,76,65,87,56,10,5,73,1
42,54,30,30,3,57,31,76,88,66,0
76,57,29,16,3,74,65,63,17,34,0
98,31,50,26,82,42,91,78,72,61,1
24,24,49,77,65,93,89,94,76,89,1
86,16,53,73,77,30,66,78,69,8,1
